id,nom,pays,ville,code_fifa
127,Deportivo La Corogne,Espagne,La Corogne,ESP
128,Dijon FCO,France,Dijon,FRA
129,Dundalk FC,Irlande,Dundalk,IRL
130,Dynamo Kiev,Ukraine,Kiev,UKR
131,ÉFC Fréjus-Saint-Raphaël,France,Fréjus,FRA
132,Eintracht Frankfort,Allemagne,Francfort-sur-le-Main,GER
133,Empoli FC,Italie,Empoli,ITA
134,En Avant de Guingamp,France,Guingamp,FRA
135,En Avant Saint-Renan,France,Saint-Renan,FRA
136,Entente Centre Ornain,France,Ligny En Barrois,FRA
137,Entente Feignies Aulnoye FC,France,Feignies-Aulnoye,FRA
138,Entente Sannois Saint-Gratien,France,Sannois-Saint-Gratien,FRA
139,Entente Sportive de Viry-Chatillon,France,Viry-Chatillon,FRA
140,Entente Sportive Guérétoise,France,Guéret,FRA
141,Entente Sportive La Rochelle,France,La Rochelle,FRA
142,Entente Sportive Municipale De Gonfreville-Orcher,France,Gonfreville,FRA
143,ES Bonchamp les Laval,France,Bonchamp-lès-Laval,FRA
144,ES Cheminots Longueau,France,Longueau,FRA
145,ES Parisiennes,France,Paris,FRA
146,ESTAC Troyes,France,Troyes,FRA
147,Etoile de Morne-à-l'Eau,France,Morne-à-l'Eau,FRA
148,Étoile Filante Iracoubo,France,Iracoubo,FRA
149,Etoile Rouge de Belgrade,Serbie,Belgrade,SRB
150,Etoile Sportive Paulhan Pezenas,France,Paulhan,FRA
151,Everton FC,Angleterre,Liverpool,ENG
152,F91 Dudelange,Luxembourg,Dudelange,LUX
153,FA Le Cendre,France,Le Cendre,FRA
154,FC Ailly-Sur-Somme Samara,France,Ailly-Sur-Somme,FRA
155,FC Annecy,France,Annecy,FRA
156,FC Augsbourg,Allemagne,Augsbourg,GER
157,FC Balagne,France,Île-Rousse,FRA
158,FC Bâle,Suisse,Bâle,SUI
159,FC Barcelone,Espagne,Barcelone,ESP
160,FC Bassin d'Arcachon,France,Arcachon,FRA
161,FC Bayern Munich,Allemagne,Munich,GER
162,FC Bords De Saône,France,Parcieux,FRA
163,FC Borgo,France,Borgo,FRA
164,FC Bourgoin-Jallieu,France,Bourgoin-Jallieu,FRA
165,FC Bourg-Péronnas,France,Bourg-en-Bresse,FRA
166,FC Canet,France,Canet-en-Roussillon,FRA
167,FC Challans,France,Challans,FRA
168,FC Chambéry,France,Chambéry,FRA
169,FC Chambly Oise,France,Chambly,FRA
170,FC Club 93 Bobigny-Bagnolet-Gagny,France,Bobigny,FRA
171,FC Cologne,Allemagne,Cologne,GER
172,FC Copenhague,Danemark,Copenhague,DEN
173,FC Crotone,Italie,Crotone,ITA
174,FC Dahlenheim,France,Dahlenheim,FRA
175,FC du Mantois 78,France,Mantes-la-Ville,FRA
176,FC Echirolles,France,Echirolles,FRA
177,FC Espaly Saint-Marcel,France,Espaly Saint-Marcel,FRA
178,FC Etoile Schirrhein-Schirrhoffen,France,Schirrhein,FRA
179,FC Groningue,Pays-Bas,Groningue,NED
180,FC Ingolstadt 04,Allemagne,Ingolstadt,GER
181,FC Istres,France,Istres,FRA
182,FC Kronenbourg Strasbourg,France,Strasbourg,FRA
183,FC La Chapelle Montgermont,France,La Chapelle-des-Fougeretz,FRA
184,FC Limonest Dardilly Saint-Didier,France,Saint-Didier,FRA
185,FC Lorient,France,Lorient,FRA
186,FC Lunéville,France,Lunéville,FRA
187,FC Martigues,France,Martigues,FRA
188,FC Metz,France,Metz,FRA
189,FC Midtjylland,Danemark,Herning,DEN
190,FC Montceau Bourgogne,France,Montceau-les-Mines,FRA
191,FC Mtsapéré,France,Mamoudzou,FRA
192,FC Mulhouse,France,Mulhouse,FRA
193,FC Municipal Aubervilliers,France,Aubervilliers,FRA
194,FC Nantes,France,Nantes,FRA
195,FC Nord 17,France,Marans,FRA
196,FC Pontcharra Saint-Loup,France,Pontcharra-sur-Turdine,FRA
197,FC Porto,Portugal,Porto,POR
198,FC Rhône Vallées,France,La-Voulte-Sur-Rhône,FRA
199,FC Rouen,France,Rouen,FRA
200,FC Rousset Sainte-Victoire,France,Rousset,FRA
201,FC Saint-Lô Manche,France,Saint-Lô,FRA
202,FC Saint-Louis Neuweug,France,Saint-Louis,FRA
203,FC Saint-Saturnin,France,Saint-Saturnin,FRA
204,FC Sarrebourg,France,Sarrebourg,FRA
205,FC Schalke 04,Allemagne,Schalke,GER
206,FC Sens,France,Sens,FRA
207,FC Sète 34,France,Sète,FRA
208,FC Séville,Espagne,Séville,ESP
209,FC Sheriff Tiraspol,Moldavie,Tiraspol,MDA
210,FC Sion,Suisse,Sion,SUI
211,FC Slovacko,République Tchèque,Uherské Hradiště,CZE
212,FC Slovan Liberec,République Tchèque,Liberec,CZE
213,FC Sochaux-Montbéliard,France,Sochaux,FRA
214,FC Soleil Bischheim,France,Bischheim,FRA
215,FC Spartak Trnava,Slovaquie,Trnava,SVK
216,FC Utrecht,Pays-Bas,Utrecht,NED
217,FC Vaulx-en-Velin,France,Vaulx-en-Velin,FRA
218,FC Versailles 78,France,Versailles,FRA
219,FC Veyle Saône,France,Veyle Saône,FRA
220,FC Viktoria Plzen,République Tchèque,Plzen,CZE
221,FC Villefranche,France,Villefranche-sur-Mer,FRA
222,FC Villefranche Beaujolais,France,Villefranche-sur-Saône,FRA
223,FC Zurich,Suisse,Zurich,SUI
224,FCSR Haguenau,France,Haguenau,FRA
225,Fehérvár FC,Hongrie,Székesfehérvár,HUN
226,Fenerbahçe SK,Turquie,Istanbul,TUR
227,Ferencváros TC,Hongrie,Budapest,HON
228,Feyenoord Rotterdam,Pays-Bas,Rotterdam,NED
229,FK Astana,Kazakhstan,Astana,KAZ
230,FK Austria Vienne,Autriche,Vienne,AUT
231,FK BATE Borisov,Biélorussie,Baryssaw,BLR
232,FK Bodo/Glimt,Norvège,Bodø,NOR
233,FK Dinamo Minsk,Biélorussie,Minsk,BLR
234,FK Dnipro,Ukraine,Dnipro,UKR
235,FK Jablonec,République Tchèque,Jablonec nad Nisou,CZE
236,FK Kairat Almaty,Kazakhstan,Almaty,KAZ
237,FK Krasnodar,Russie,Krasnodar,RUS
238,FK Partizan Belgrade,Serbie,Belgrade,SRB
239,FK Qabala,Azerbaïdjan,Qabala,AZE
240,FK Rostov,Russie,Rostov-sur-le-Don,RUS
241,FK Rubin Kazan,Russie,Kazan,RUS
242,Fleury 91 FC,France,Fleury-Mérogis,FRA
243,Fotbal Club FCSB,Roumanie,Bucarest,ROU
244,Frosinone Calcio,Italie,Frosinone,ITA
245,FSV Mayence 05,Allemagne,Mayence,GER
246,Galatasaray SK,Turquie,Istanbul,TUR
247,Garde Saint-Ivy Pontivy,France,Pontivy,FRA
248,GAS Notre Dâme de Reun Guipavas,France,Guipavas,FRA
249,Gazélec Ajaccio,France,Ajaccio,FRA
250,Genoa CFC,Italie,Gênes,ITA
251,Getafe CF,Espagne,Getafe,ESP
252,Girondins de Bordeaux,France,Bordeaux,FRA
253,GNK Dinamo Zagreb,Croatie,Zagreb,CRO
254,Go Ahead Eagles,Pays-Bas,Deventer,NED
255,GOAL FC,France,Lyon,FRA
256,Golden Lion FC,France,Saint-Joseph,FRA
257,Golden Star de Fort-de-France,France,Fort-de-France,FRA
258,Granada CF,Espagne,Grenade,ESP
259,Grand-Quevilly FC,France,Grand-Quevilly,FRA
260,Grenoble Foot 38,France,Grenoble,FRA
261,Hambourg SV,Allemagne,Hambourg,GER
262,Hanovre 96,Allemagne,Hanovre,GER
263,Hapoël Beer-Sheva FC,Israël,Beer-Sheva,ISR
264,Hauts Lyonnais,France,Lyon,FRA
265,Hellas Verone FC,Italie,Verone,ITA
266,Hertha BSC,Allemagne,Berlin,GER
267,Hienghene Sport,France,Hienghene,FRA
268,Hull City AFC,Angleterre,Kingston upon Hull,ENG
269,Hyères FC,France,Hyères,FRA
270,Inter Milan,Italie,Milan,ITA
271,Iris Club de Croix,France,Croix,FRA
272,Is Selongey Football,France,Is-sur-Tille,FRA
273,Jarville Jeunes Section Football,France,Jarville-la-Malgrange,FRA
274,Jeanne D'Arc de Biarritz,France,Biarritz,FRA
275,Jeanne d'Arc de Drancy,France,Drancy,FRA
276,JS Saint Pierroise,France,Saint-Pierre,FRA
277,JS Saint-Nicolas d'Aliermont,France,Saint-Nicolas-d'Aliermont,FRA
278,Jura Sud Foot,France,Chassal-Molinges,FRA
279,Juventus FC,Italie,Turin,ITA
280,KAA La Gantoise,Belgique,Gand,BEL
281,KF Skenderbeu Korçë,Albanie,Korçë,ALB
282,Konyaspor,Turquie,Konya,TUR
283,KRC Genk,Belgique,Genk,BEL
284,La Suze-Roëzé FC,France,La Suze-sur-Sarthe,FRA
285,LB Châteauroux,France,Châteauroux,FRA
286,Le Havre AC,France,Le Havre,FRA
287,Le Mans FC,France,Le Mans,FRA
288,Le Mée Sports,France,Le Mée-sur-Seine,FRA
289,Lech Poznan,Pologne,Poznan,POL
290,Legia Varsovie,Pologne,Varsovie,POL
291,Leicester City FC,Angleterre,Leicester,ENG
292,L'Ernéenne,France,Ernée,FRA
293,Les Genêts d'Anglet,France,Anglet,FRA
294,Levante Unión Deportiva,Espagne,Valence,ESP
295,Libourne FA,France,Libourne,FRA
296,Lille OSC,France,Lille,FRA
297,Limoges Football,France,Limoges,FRA
298,Liverpool FC,Angleterre,Liverpool,ENG
299,Lokomotiv Moscou,Russie,Moscou,RUS
300,Louhans-Cuiseaux FC,France,Louhans-Cuiseaux,FRA
301,Luc Primaube FC,France,Luc-La-Primaube,FRA
302,Luçon FC,France,Luçon,FRA
303,Lyon La Duchère,France,Lyon,FRA
304,Maccabi de Paris UJA,France,Paris,FRA
305,Maccabi Haïfa FC,Israël,Haïfa,ISR
306,Maccabi Tel Aviv FC,Israël,Tel Aviv,ISR
307,Málaga CF,Espagne,Málaga,ESP
308,Malmö FF,Suède,Malmö,SWE
309,Manchester City FC,Angleterre,Manchester,ENG
310,Manchester United FC,Angleterre,Manchester,ENG
311,Middlesbrough FC,Angleterre,Middlesbrough,ENG
312,Molde FK,Norvège,Molde,NOR
313,Montauban FC Tarn-et-Garonne,France,Montauban,FRA
314,Montpellier HSC,France,Montpellier,FRA
315,Moulins Yzeure Foot,France,Yzeure,FRA
316,Newcastle United FC,Angleterre,Newcastle,ENG
317,Nîmes Olympique,France,Nîmes,FRA
318,Norwich City FC,Angleterre,Norwich,ENG
319,Nottingham Forest FC,Angleterre,Nottingham,ENG
320,OGC Nice,France,Nice,FRA
321,Olympiakos,Grèce,Athènes,GRE
322,Olympique Alès En Cévennes,France,Alès,FRA
323,Olympique Charleville Prix Ardenne Métropole,France,Prix-Les-Mezières,FRA
324,Olympique de Marseille,France,Marseille,FRA
325,Olympique de Noisy-le-Sec banlieue 93,France,Noisy Le Sec,FRA
326,Olympique Léodgarien Niort Saint-Liguaire,France,Niort,FRA
327,Olympique Lyonnais,France,Lyon,FRA
328,Olympique Marcquois Football,France,Marcq-En-Baroeul,FRA
329,Olympique Pavillais,France,Pavilly,FRA
330,Olympique Saint-Marcellin,France,Saint-Marcellin,FRA
331,Orvault RC,France,Orvault,FRA
332,Pafos FC,Chypre,Pafos,CYP
333,Palerme FC,Italie,Palerme,ITA
334,Panathinaïkos,Grèce,Athènes,GRE
335,PAOK Salonique,Grèce,Thessalonique,GRE
336,Paris FC,France,Paris,FRA
337,Paris Saint Germain,France,Paris,FRA
338,Pau FC,France,Pau,FRA
339,Perpignan Football Catalan,France,Perpignan,FRA
340,PFK Ludogorets Razgrad,Bulgarie,Razgrad,BUL
341,Phare du Canal,France,Petit Canal,FRA
342,Ploufragan FC,France,Ploufragan,FRA
343,Plouzané ACF,France,Plouzané,FRA
344,Poissy FC,France,Poissy,FRA
345,PSV Eindhoven,Pays-Bas,Eindhoven,NLD
346,Qarabag FK,Azerbaidjan,Agdam,AZE
347,Rangers FC,Ecosse,Glasgow,SCO
348,Rapid Vienne,Autriche,Vienne,AUT
349,Rayo Vallecano de Madrid,Espagne,Madrid,ESP
350,RB Leipzig,Allemagne,Leipzig,GER
351,RC Epernay Champagne,France,Epernay,FRA
352,RC Lens,France,Lens,FRA
353,RC Rannée-La Guerche-Drouges,France,La Guerche-de-Bretagne,FRA
354,RC Strasbourg Alsace,France,Strasbourg,FRA
355,RCD Espanyol de Barcelona,Espagne,Barcelone,ESP
356,Real Betis Balompié,Espagne,Séville,ESP
357,Real Club Celta de Vigo,Espagne,Vigo,ESP
358,Real Madrid CF,Espagne,Madrid,ESP
359,Real Sociedad de Fútbol,Espagne,Saint-Sébastien,ESP
360,Real Sporting de Gijón,Espagne,Gijón,ESP
361,Red Bull Salzbourg,Autriche,Salzbourg,AUT
362,Red Star FC 93,France,Paris,FRA
363,Reims Sainte-Anne,France,Reims,FRA
364,Renaissance Sportive Magny,France,Metz,FRA
365,Riviera FC,France,Saint-Jean-Cap-Ferrat,FRA
366,Rodez Aveyron Football,France,Rodez,FRA
367,Rosenborg BK,Norvège,Trondheim,NOR
368,Rostrenen FC,France,Rostrenen,FRA
369,Royal Union Saint-Gilloise,Belgique,Saint-Gilles,BEL
370,RSC Anderlecht,Belgique,Anderlecht,BEL
371,SA Sézanne,France,Sézanne,FRA
372,Saint-Amand FC,France,Saint-Amand-les-Eaux,FRA
373,Saint-Colomban Sportive Locminé,France,Locminé,FRA
374,Sainte-Geneviève FC,France,Sainte-Geneviève-des-Bois,FRA
375,Saint-Jean Beaulieu,France,Saint-Jean Beaulieu,FRA
376,Saint-Nazaire AF,France,Saint-Nazaire,FRA
377,Sarpsborg 08 FF,Norvège,Sparsborg,NOR
378,Sarreguemines FC,France,Sarreguemines,FRA
379,SAS Épinal,France,Epinal,FRA
380,Saumur OFC,France,Saumur,FRA
381,SC Bastia,France,Bastia,FRA
382,SC Braga,Portugal,Braga,POR
383,SC Dinsheim,France,Dinsheim,FRA
384,SC Douai,France,Douai,FRA
385,SC Ebersheim,France,Ebersheim,FRA
386,SC Fribourg,Allemagne,Fribourg,GER
387,SC Hazebrouckois,France,Hazebrouck,FRA
388,SC Schiltigheim,France,Schiltigheim,FRA
389,SC Toulon,France,Toulon,FRA
390,Shakhtar Donetsk,Ukraine,Donetsk,UKR
391,SK Brann,Norvège,Bergen,NOR
392,SK Sturm Graz,Autriche,Graz,AUT
393,SL Benfica,Portugal,Lisbonne,POR
394,Slavia Prague,République Tchèque,Prague,CZE
395,SO Cholet,France,Cholet,FRA
396,SO Romorantin,France,Romorantin-Lanthenay,FRA
397,Sociedad Deportiva Eibar,Espagne,Eibar,ESP
398,Southampton FC,Angleterre,Southampton,ENG
399,Spartak Moscou,Russie,Moscou,RUS
400,Sport Union Dives-Cabourg,France,Cabourg,FRA
401,Sporting CP,Portugal,Lisbonne,POR
402,Sports Athlétiques Thiernois,France,Thiers,FRA
403,Sports Réunis Saint-Dié Kellermann,France,Saint-Dié-Des-Vosges,FRA
404,SR Colmar,France,Colmar,FRA
405,SR Kayserberg,France,Kaysersberg,FRA
406,SS Lazio,Italie,Rome,ITA
407,SSC Naples,Italie,Naples,ITA
408,Stade Balarucois,France,Balaruc-les-Bains,FRA
409,Stade Béthunois FC,France,Béthune,FRA
410,Stade Bordelais ASPTT Football,France,Bordeaux,FRA
411,Stade Brestois 29,France,Brest,FRA
412,Stade Briochin,France,Saint-Brieuc,FRA
413,Stade de Reims,France,Reims,FRA
414,Stade Lavallois Mayenne FC,France,Laval,FRA
415,Stade Malherbe Caen,France,Caen,FRA
416,Stade Montois Football,France,Mont-De-Marsan,FRA
417,Stade Paimpolais FC,France,Paimpol,FRA
418,Stade Plabennécois,France,Plabennec,FRA
419,Stade Poitevin FC,France,Poitiers,FRA
420,Stade Pontivyen,France,Pontivy,FRA
421,Stade Portelois,France,Le Portel,FRA
422,Stade Rennais,France,Rennes,FRA
423,Standard de Liège,Belgique,Liège,BEL
424,Stoke City FC,Angleterre,Stoke,ENG
425,Sunderland AFC,Angleterre,Sunderland,ENG
426,SV Darmstadt 98,Allemagne,Darmstadt,GER
427,Swansea City AFC,Angleterre,Swansea,ENG
428,TA Rennes Football,France,Rennes,FRA
429,Tarbes Pyrénées Football,France,Tarbes,FRA
430,Thonon Évian Grand Genève FC,France,Thonon-les-Bains,FRA
431,Torino FC,Italie,Turin,ITA
432,Tottenham Hotspur,Angleterre,Londres,ENG
433,Toulouse FC,France,Toulouse,FRA
434,Toulouse Rodéo Football,France,Toulouse,FRA
435,Toulouse Saint-Jo FC,France,Toulouse,FRA
436,Tours FC,France,Tours,FRA
437,Trabzonspor,Turquie,Trabzon,TUR
438,Trélissac-Antonne Périgord FC,France,Trélissac,FRA
439,TSG 1899 Hoffenheim,Allemagne,Sinsheim-Hoffenheim,GER
440,TVEC 85 Les Sables d'Olonne,France,Les Sables-d'Olonne,FRA
441,UA Niort Saint-Florent,France,Niort,FRA
442,UC Sampdoria,Italie,Gênes,ITA
443,Udinese Calcio,Italie,Udinese,ITA
444,UF Belleville Saint-Jean d'Ardières,France,Belleville-en-Beaujolais,FRA
445,UF Maconnais,France,Mâcon,FRA
446,UMS Montélimar,France,Montélimar,FRA
447,Unión Deportiva Las Palmas,Espagne,Las Palmas de Gran Canaria,ESP
