id,nom_csv,nom_db,id_nom_db
162,Kilmarnock,Kilmarnock FC,726
163,La Coruna,Deportivo La Corogne,127
164,Las Palmas,Unión Deportiva Las Palmas,447
165,Laval,Stade Lavallois Mayenne FC,414
166,Lazio,SS Lazio,406
167,Le Havre,Le Havre AC,286
168,Le Mans,Le Mans FC,287
169,Lecce,US Lecce,732
170,Leeds,Leeds United FC,734
171,Leganes,CD Leganés,96
172,Leicester,Leicester City FC,291
173,Lens,RC Lens,352
174,Levante,Levante Unión Deportiva,294
175,Leverkusen,Bayer 04 Leverkusen,73
176,Leyton Orient,Leyton Orient FC,740
177,Lille,Lille OSC,296
178,Lincoln,Lincoln City FC,742
179,Liverpool,Liverpool FC,298
180,Livingston,Livingston FC,743
181,Lorient,FC Lorient,185
182,Luton,Luton Town FC,754
183,Lyon,Olympique Lyonnais,327
184,Magdeburg,FC Magdebourg,758
185,Mainz,FSV Mayence 05,245
186,Malaga,Málaga CF,307
187,Mallorca,Real Club Deportivo Mallorca,762
188,Man City,Manchester City FC,309
189,Man United,Manchester United FC,310
190,Mansfield,Mansfield Town FC,765
191,Mantova,Mantova 1911,766
192,Marseille,Olympique de Marseille,324
193,Mechelen,Yellow Red KV Malines,768
194,Metz,FC Metz,188
195,M'gladbach,Borussia Monchengladbach,86
196,Middlesbrough,Middlesbrough FC,311
197,Milan,AC Milan,6
198,Millwall,Millwall FC,772
199,Milton Keynes Dons,Milton Keynes Dons FC,773
200,Mirandes,Club Deportivo Mirandés,774
201,Modena,Modena Football Club 2018,775
202,Monaco,AS Monaco,43
203,Montpellier,Montpellier HSC,314
204,Monza,Associazione Calcio Monza,776
205,Morecambe,Morecambe FC,777
206,Moreirense,Moreirense FC,778
207,Motherwell,Motherwell FC,779
208,NAC Breda,NAC Breda,783
209,Nacional,Clube Desportivo Nacional,757
210,Nancy,AS Nancy Lorraine,45
211,Nantes,FC Nantes,194
212,Napoli,SSC Naples,407
213,Newcastle,Newcastle United FC,316
214,Newport County,Newport County AFC,785
215,Nice,OGC Nice,320
216,Nijmegen,NEC Nimègue,786
217,Northampton,Northampton Town FC,789
218,Norwich,Norwich City FC,318
219,Nott'm Forest,Nottingham Forest FC,319
220,Notts County,Notts County FC,791
221,Nurnberg,FC Nuremberg,795
222,Oldham,Oldham Athletic AFC,799
223,Osasuna,Club Atlético Osasuna,803
224,Oud-Heverlee Leuven,Oud-Heverlee Louvain,805
225,Oviedo,Real Oviedo,806
226,Oxford,Oxford United FC,807
227,Paderborn,SC Paderborn 07,810
228,Padova,Calcio Padova,811
229,Palermo,Palerme FC,333
230,Paris FC,Paris FC,336
231,Paris SG,Paris Saint Germain,337
232,Parma,Parma Calcio 1913,812
233,Pau FC,Pau FC,338
234,Pescara,Delfino Pescara 1936,125
235,Peterboro,Peterborough United FC,816
236,Pisa,Pisa SC,818
237,Plymouth,Plymouth Argyle FC,820
238,Port Vale,Port Vale FC,825
239,Porto,FC Porto,197
240,Portsmouth,Portsmouth FC,828
241,Preston,Preston North End FC,829
242,Preußen Münster,SC Preussen Munster,830
243,PSV Eindhoven,PSV Eindhoven,345
244,QPR,Queens Park Rangers FC,832
245,RAAL La Louviere,RAAL La Louviere,833
246,Rangers,Rangers FC,347
247,RB Leipzig,RB Leipzig,350
248,Reading,Reading FC,838
249,Real Madrid,Real Madrid CF,358
250,Red Star,Red Star FC 93,362
251,Reggiana,AC Reggiana 1919,843
252,Reims,Stade de Reims,413
253,Rennes,Stade Rennais,422
254,Rio Ave,Rio Ave FC,848
255,Rochdale,Rochdale AFC,849
256,Rodez,Rodez Aveyron Football,366
257,Roma,AS Rome,51
258,Rotherham,Rotherham United FC,854
259,Salford,Salford City FC,860
260,Sampdoria,UC Sampdoria,442
261,Santa Clara,CD Santa Clara,864
262,Santander,Racing de Santander,865
263,Sassuolo,US Sassuolo Calcio,479
264,Schalke 04,FC Schalke 04,205
265,Scunthorpe,Scunthorpe United FC,869
266,Sevilla,FC Séville,208
267,Sheffield United,Sheffield United FC,873
268,Sheffield Weds,Sheffield Wednesday FC,874
269,Shrewsbury,Shrewsbury Town FC,875
270,Sociedad,Real Sociedad de Fútbol,359
271,Sociedad B,Real Sociedad de Fútbol B,878
272,Solihull,Solihull Moors FC,879
273,Southampton,Southampton FC,398
274,Southend,Southend United FC,880
275,Sp Braga,SC Braga,382
276,Sp Gijon,Real Sporting de Gijón,360
277,Sp Lisbon,Sporting CP,401
278,Sparta Rotterdam,Sparta Rotterdam,883
279,Spezia,Spezia Calcio,884
280,St Etienne,AS Saint-Etienne,52
281,St Mirren,St Mirren FC,886
282,St Pauli,FC St Pauli,887
283,St Truiden,K Saint-Trond VV,888
284,St. Gilloise,Royal Union Saint-Gilloise,369
285,Standard,Standard de Liège,423
286,Stevenage,Stevenage FC,891
287,Stockport,Stockport County FC,892
288,Stoke,Stoke City FC,424
289,Strasbourg,RC Strasbourg Alsace,354
290,Stuttgart,VfB Stuttgart,488
291,Sudtirol,Fußball Club Südtirol,894
292,Sunderland,Sunderland AFC,425
293,Sutton,Sutton United,895
294,Swansea,Swansea City AFC,427
295,Swindon,Swindon Town FC,896
296,Tamworth,Tamworth FC,898
297,Telstar,SC Telstar,899
298,Tondela,CD Tondela,905
299,Torino,Torino FC,431
300,Tottenham,Tottenham Hotspur,432
301,Toulouse,Toulouse FC,433
302,Tranmere,Tranmere Rovers FC,907
303,Troyes,ESTAC Troyes,146
304,Truro,Truro City FC,912
